question_clean	options_formatted	correct_letter
Which is not a causes of jaundice in pregnancy	A. Hyperemesis gravidarum | B. Diabetes Mellitus | C. Pre-eclampsia | D. Sickle cell disease | E. Acute fatty liver of pregnancy	B
Primary causes of death in Cancer of the Cervix except	A. Uraemia. | B. Haemorrhage | C. Infection. | D. Liver Failure. | E. Renal Failure	D
The combined oral contraceptive pill: Which is false	A. Inhibits ovulation. | B. Improves cycle control. | C. Can be used in a breastfeeding mother immediate postpartum. | D. Is Absolutely contraindicated in patients with acute/severe liver disease. | E. Can be used in the management of PCOS	C
Use of the intrauterine contraceptive device (IUCD): which is true?	A. The intrauterine system (IUS) contains norethisterone. | B. The intrauterine system (Mirena) is licensed for ten years. | C. Heavy bleeding is the most common side effect with the Mirena. | D. The risk of pelvic inflammatory disease is increased with IUCD use. | E. There is an increased risk of ectopic pregnancy with IUCD use.	D
The following are associated with menstrual disorders:	A. Endometrial polyp. | B. Endometrial simple hyperplasia. | C. Pelvic inflammatory disease. | D. Thyroid disease. | E. Diabetes	E
The components of the Apgar score include all except:	A. Appearance. | B. Pulse rate. | C. Good eye opening. | D. Activity. | E. Respiratory effort.	C
Which is not an ultrasound feature of intrauterine fetal death	A. Absence of fetal heart activity | B. Overlapping of fetal Skull bones | C. Absence of fetal movement | D. Absence of gas in the fetal abdomen | E. Loss of attitude.	D
The obstetric doctor on call is asked to review a cardiotocograph performed prior to induction of labour in a 39 weeks old multigravida. Which of the following features should help to reassure the doctor that this is a normal trace?	A. The baseline heart rate is 100 beats per minute. | B. The baseline variability is <5 beats per minute | C. 2 accelerations of 15 beats per minute above the baseline for 15 seconds in a 20 minutes trace. | D. are no significant accelerations of the fetal heart on the 30-minute recording. | E. The tocograph is picking up regular contractions.	C
Management of an 89-year old woman with ischaemic heart disease who is not sexually active but presents with a procidentia of the uterus is:	A. Shelf pessary. | B. Pelvic floor exercises. | C. Vaginal hysterectomy. | D. Hysteroscopy. | E. Total vaginal mesh procedure.	A
A patient presents with vulval itching, sore vagina and a profuse, white, curdy discharge with erythema and redness at the introitus. The likely diagnosis is:	A. Bacterial vaginosis. | B. Trichomonas vaginalis. | C. Candida. | D. Chlamydia. | E. HPV.	C
Choose the option that is less common after Caesarean delivery than after vaginal delivery:	A. Pulmonary embolism. | B. Postpartum haemorrhage. | C. Post-natal depression. | D. Amniotic fluid embolism. | E. Infection.	D
As the obstetric SHO on call, you are preparing to perform a ventouse delivery. Which of the following is contraindication to ensure?	A. Gestation more than 35 weeks. | B. The cervix is fully dilated. | C. Adequate maternal analgesia. | D. Empty bladder. | E. Fetal membranes are ruptured.	A
Which of the following is the main advantage to performing a medio-lateral episiotomy?	A. Less blood loss. | B. Reduced incidence of dyspareunia. | C. Less anal sphincter damage. | D. Less pain in the postpartum period. | E. It is easier to repair.	C
Choose the option that is the greatest contraindication to epidural anaesthesia:	A. Previous treatment with anticoagulants. | B. Multiple pregnancy. | C. Patients receiving narcotics. | D. Hypertension in pregnancy. | E. Hypovolaemia.	E
Choose the best option with regard to a non-immune pregnant woman with an exposure to chickenpox:	A. Should be given the varicella zoster vaccine as soon as possible after exposure. | B. Should be given varicella zoster immunoglobulin as soon as possible after exposure. | C. Does not need intervention unless symptoms of chickenpox occur. | D. Should not be treated with acyclovir in the third trimester. | E. Has a 15 per cent risk of having a baby with fetal varicella syndrome.	C
You are counselling a pregnant woman in the antenatal clinic who has known hepatitis with regard to fetal risk. Which form of hepatitis has the highest rate of fetal transmission?	A. Hepatitis A. | B. Hepatitis B. | C. Hepatitis C. | D. Hepatitis B+D. | E. Hepatitis E.	B
Which of the following is least accurate regarding adrenal disease in pregnancy?	A. Cushing’s syndrome may resemble the features of normal pregnancy. | B. Addison’s disease may be difficult to diagnose in pregnancy due to changes in steroid profiles. | C. Phaeochromocytoma may be diagnosed using 24-hour urine catecholamine testing. | D. Steroid replacement therapy should be reduced to allow normal delivery. | E. Phaeochromocytoma may mimic the features of pre-eclampsia.	D
Which statement is most accurate regarding cervical cerclage?	A. In a high-risk patient it should be performed as soon as practical after confirmation of intrauterine pregnancy. | B. Is a suitable procedure in any woman with a history of delivery between 20 and 26 weeks. | C. Should be performed using an absorbable suture material. | D. May be placed using a transvaginal approach. | E. Requires a second anaesthetic procedure for removal when delivery is imminent.	D
Which of the following is not an increased risk in multiple pregnancy?	A. Placenta praevia. | B. Diabetes mellitus. | C. Pre-eclampsia. | D. Malpresentation. | E. Intrauterine growth restriction (IUGR).	D
A thirty-seven-year-old woman attends for a routine dating scan. She asks you in detail what information will be obtained from the scan. Which of the following will not be possible?	A. Accurate dating of the pregnancy. | B. The detection of placenta praevia. | C. The early detection of twin pregnancies. | D. The detection of a failed pregnancy. | E. The detection of uterine abnormalities.	B
A woman contacts her midwife with concerns regarding fetal well-being at 32/40 in a previously normal pregnancy. Which is the best management?	A. Auscultation of the fetal heart at home by midwife. | B. Encourage the patient to record a 24-hour kick chart. | C. Book a growth scan within 2 days. | D. Attend hospital if fetal movements are decreased. | E. Advise repeat nuchal translucency scan.	C
An infant is delivered at 27/40 and taken to the neonatal unit. Which problem is most likely to be experienced?	A. Incomplete formation of the epidermis from the mesoderm. | B. Excessive vernix formation | C. Lanugo shedding. | D. Thermoregulation due to thin skin. | E. Lack of hair follicle development.	D
A woman is found to have oligohydramnios at 30/40. Which of the following is the most likely cause?	A. Duodenal atresia. | B. Placental chorioangioma. | C. Diabetes. | D. Oesophageal atresia. | E. Renal agenesis.	E
Which statement is correct regarding general examination in pregnancy?   a)   b)    c)    d)   e)	A. The abdomen should always be palpated lying flat. | B. Breast examination should be conducted as part of routine antenatal care. | C. Approximately 80 per cent of women have an audible murmur at 12/40. | D. A symphysis–fundal height measurement should be plotted at every visit after 16/40. | E. Nipple examination can predict women who will need help in breastfeeding.	E
Obstetric history taking and examination   Which statement is correct regarding calculating expected date of delivery (EDD)?	A. Pregnancy is dated from conception. | B. The last menstrual period (LMP) is reliable if the cycles are irregular. | C. The average length of pregnancy is 280 days. | D. LMP defined dates are more accurate than those calculated from USS. | E. Head circumference may be used to date a pregnancy until 25 weeks.	C
The procedure most suitable for the investigation of pelvic pain is:	A. Cystoscopy. | B. Hysteroscopy. | C. Hysterosalpingogram. | D. Laparoscopy. | E. Hysterectomy.	D
Management of an eighty nine-year-old woman with ischaemic heart disease who is not sexually active but presents with a procidentia of the uterus is:	A. Shelf pessary. | B. Pelvic floor exercises. | C. Vaginal hysterectomy. | D. Hysteroscopy | E. Total vaginal mesh procedure.	A
Management of a cervical smear showing moderate dyskaryosis is:	A. Repeat smear in six months. | B. HPV vaccination. | C. Colposcopy and biopsy. | D. LLETZ procedure. | E. Wertheim’s hysterectomy.	C
The most appropriate treatment option for an eighty-year-old woman with a BMI of 25 presenting with post-menopausal bleeding and found to have Stage 1 a endometrial adenocarcinoma on MRI and hysteroscopy is:	A. Polypectomy and Mirena. | B. TAH/BSO in a local centre. | C. TAH/BSO in a cancer centre. | D. TAH/BSO and radiotherapy. | E. Radiotherapy alone.	C
A seventeen-year-old girl who is not sexually active presents with left iliac fossa pain. An ultrasound scan shows a 5 cm cyst on the left ovary which is complex in nature, with solid, calcified elements and fatty deposits noted on MRI. The likely diagnosis is:	A. Thecal luteal cyst. | B. Tubo-ovarian abscess. | C. Serous cystadenoma. | D. Fibroma. | E. Dermoid cyst.	E
The most suitable treatment for a thirty four-year-old woman with minimal endometriosis on laparoscopy, who has been trying to conceive for two years and has pelvic pain, is:	A. Laser ablation to endometriosis/excision of the endometriosis. | B. GnRH analogues. | C. Danazol. | D. Progesterone. | E. Combined oral contraceptive pill.	A
A twenty five-year-old girl presents with mid-cycle pain on a regular monthly basis. She is sexually active and does not take any contraception. The pain quickly resolves after 24 hours. She has a regular 28-day cycle. The likely cause of the pain is:	A. PID. | B. Endometriosis. | C. Mittelschmertz syndrome. | D. Adenomyosis. | E. Polycystic ovaries.	C
A nineteen year-old-girl is admitted with pelvic pain, a positive pregnancy test and a 3 cm viable ectopic pregnancy seen in the right fallopian tube on ultrasound. She has already had a left saplingectomy for a previous ectopic. The best management would be:	A. Laparoscopic salpingectomy. | B. Laparoscopic salpingostomy. | C. Conservative management with serial βHCGs. | D. Laparotomy. | E. Methotrexate.	B
Choose from below the single best contraceptive method for a forty five-year-old woman with a BMI of 40, smoker with multiple fibroids, who is in a stable relationship, whose family is complete and who has had a peritonitis secondary to appendicitis in the past.	A. Combined oral contraceptive pill. | B. Laparoscopic clip sterilization. | C. Mirena. | D. Progesterone-only pill. | E. Hysteroscopic sterilization.	E
This is not a common oestrogen-related side effect to HRT:	A. Fluid retention. | B. Breast enlargement. | C. Leg cramps. | D. Dyspepsia. | E. Acne.	D
Considering dysgerminomas which statement is correct:	A. The peak age is over forty five years old. | B. CA 125 is elevated in 50 per cent of cases. | C. They are mainly cystic rather than solid in nature. | D. They can cause a rise in alpha-fetoprotein and hCG. | E. Immature teratomas are benign and are commonly called dermoid tumours.	D
Regarding carcinoma of the ovary:   a)   b)    c)   d)   e)	A. It is most common in developing countries. | B. The incidence is similar to carcinoma of the endometrium with similar prognosis. | C. The peak age is 80–90 years old. | D. The majority are epithelial in origin. | E. The mainstay of treatment is surgery and radiotherapy combined.	D
Which of the statements does not describe sex cord tumours:	A. All granulosa cell tumours are malignant, but are usually confined to the ovary and have a good prognosis. | B. Call–Exner bodies are pathognomonic of theca cell tumours. | C. Many theca cell tumours cause post-menopausal bleeding and endometrial carcinoma. | D. Meigs’ syndrome is the combination of fibroma, ascites and pleural effusions. | E. Virilization is seen in 75 per cent of Sertoli–Leydig cell tumours.	A
Which of the following is not associated with molar pregnancy?	A. Dermoid cysts. | B. Large for dates. | C. Hyperemesis. | D. Pre-eclampsia. | E. Diploidy.	A
Which of the following is not associated with menstrual disorders?	A. Endometrial polyp. | B. Endometrial simple hyperplasia. | C. Pelvic inflammatory disease. | D. Thyroid disease. | E. Diabetes.	E
This structure is not covered by peritoneum in whole or in part:	A. Bladder. | B. Rectum. | C. Uterus. | D. Ovary. | E. Ureter	D
A 23-year-old presented with a lower abdominal pain of 1-week duration and 6 weeks history of Amenorrhoea. Ultrasound scan reveals pregnancy in the uterus and another in the interstitial of the tube. The appropriate diagnosis	A. Interstitial pregnancy | B. Heterogenous pregnancy | C. Homogenous pregnancy | D. Heterotrophic pregnancy | E. Ectopic pregnancy	D
A 50 year old woman complained of hot flushes, night sweats,                 decreased libido and absence of menses for 2 years duration. Her FSH                 was elevated at 52 i. u/L . The most likely diagnosis will be?	A. Hyperprolactinaemia | B. Pregnancy | C. Menopause | D. Ovarian cancer | E. Hyperprolactinaemia.	C
A 24 year old G 1 P 0 presented at 30 weeks with history of rupture of               membranes but no contractions. Which of the following procedures                 should be avoided in this patient?	A. Speculum examination | B. Digital vaginal examination | C. High vaginal swab | D. Cardiotocography | E. Ultrasound	B
Which of the following vessels may be injured during local anaesthetic                  instillation for episiotomy?	A. Distal abdominal aorta | B. Obturator artery | C. Uterine artery | D. Femoral artery | E. Internal pudendal artery	E
The most important prognostic factor in endometrial carcinoma is:	A. Lymph node metastasis | B. Age at diagnosis | C. Stage of the disease | D. Histological type | E. Hormone receptor status.	A
Aspermia is the term used to describe :	A. Absence of semen | B. Absence of sperm in the ejaculate | C. Absence of Sperm motility | D. Occurence of abnormal sperm | E. Absence of viable sperm.	A
A 40 year-old premenopausal woman complains of prolonged    amenorrhoea(6-8 weeks) followed by excessive painless bleeding. The most likely diagnosis is:	A. Coagulopathy | B. Pelvic inflammatory disease | C. Carcinoma of the endometrium | D. hypothyroidism | E. Metropathia haemorrhagica	E
Mittelschmerz:	A. Is synonymous to anovulatory  pain | B. It lasts more than 24 hours | C. It is not usually experienced in the midcycle | D. Nausea and omitting is present | E. Pain is usually associated with rupture of the ovarian follicle at ovulation	E
Protective factor for endometriosis:	A. High socio-economic status | B. Nulliparity | C. Family history | D. Smoking | E. Oestogen	D
Uterine fibroids:	A. Fibroids are most commonly seen in multiparous | B. They are polyclonal in origin | C. They are related to hypo oestrogenism. | D. They usually regress during pregnancy | E. Most common menstrual symptom is menorrhagia.	E
Pearl’s index indicates:	A. Malnutrition | B. Population | C. Contraceptive failure | D. Low birth weight | E. Intrauterine growth restriction	C
The following act as secondary support of the uterus	A. Round ligament | B. Pubocervical ligament | C. Uterosacral ligament | D. Perineal  body | E. Transverse cervical ligament	A
The most common complication of Hysterosalpingography is:	A. Cervical laceration | B. Vaso-vagal attack | C. Haemorrhage | D. Uterine perforation | E. Flare-up of Pelvic inflammatory disease.	E
A 40-year old presented to the gynaecologist with complaints of profuse vaginal discharge. There was no discharge from the cervix on speculum examination. The diagnosis of bacteria vaginosis was made based on the following on microscopy except:	A. Abundance of gram variable coccobacilli | B. Absence of lactobacill | C. Abundance of polymorphs | D. Presence of Clue cells | E. Presence of Bacteroides.	C
Congenital adrenal hyperplasia:	A. Is the most common cause of ambiguous genitalia | B. The commonest  enzyme deficiency is 11-hydroxylase deficiency | C. The genotype is 46 XY | D. It is an autosomal dominant disorder | E. The gonads are testis	A
SRY gene is located on	A. Short arm of y chromosome | B. Long arm of y chromosome | C. Short arm of x chromosome | D. Long arm of x chromosome | E. Short arm of chromosome no 10	A
The following hormone is significantly raised in polycystic ovarian syndrome	A. 17-OH Progesterone | B. Follicle stimulating hormone | C. Luteinizing hormone | D. Thyroid stimulating hormone | E. Oestrogen	C
A woman underwent a surgical evacuation of the uterus following a failed intrauterine pregnancy. Histological analysis of products of conception showed complete molar pregnancy. She was subsequently treated with single agent chemotherapy. She returns after completion of treatment and wishes to conceive again, how long should she wait?	A. 1 month | B. 3 months | C. 6 months | D. 12 months | E. 18 months	D
The following are normal physiological changes that occur in pregnancy:	A. There is usually the fourth heart sound | B. The plasma volume expands by 70 % | C. The red cell mass increases by  18-25 % | D. The expansion of the plasma volume and red cell mass expansion are synchronous | E. Haemoglobin concentration in the second trimester is the same as the pre-pregnancy level.	C
The first step in the assessment of post-term gestation is:	A. To choose between induction of labour and an elective caesarean section | B. Determination of the fetal weight by ultrasonography | C. Non stress test | D. Contraction stress test | E. To ascertain the true length of gestation.	E
The following statement is true regarding prevention of preterm labor:	A. Cases with history of preterm labor require prophylactic parenteral tocolytic therapy | B. Parenteral tocolytic therapy can be used with rupture of membranes | C. Twin pregnancy requires more bed rest and in some cases parenteral tocolytic therapy | D. Parenteral  tocolytic therapy can be used with cervical dilatation up to 6 cm | E. Pregnant women exerting heavy work are advised to have more rest and oral tocolysis.	C
A 24-year old woman has had three first-trimester spontaneous miscarriges. Which of the following statements concerning chromosomal aberrations in abortions is true?	A. 45x is more prevalent in chromosomally abnormal term babies than in spontaneously aborted pregnancies | B. Approximately 20% of first trimester spontaneous miscarriages have chromosomal abnormalities | C. Trisomy 21 is the most common trisomy in abortuses | D. Despite the relatively high frequency of Down syndrome at term, most Down foetuses abort spontaneously. | E. Stillbirths have twice the incidence of chromosomal abnormalities as live births	D
A 20 year-old woman presents to the clinic with abdominal pain. Through further questioning, the woman reveals that she was sexually assaulted at a party 3 weeks ago by a male friend whom she recently started dating. She has not revealed to anybody and has not reported to the police. Her abdominal/pelic examination are normal. Which of the following is the best management to offer her?	A. Counsel her to sue the male friend | B. Prescribe antidepressant | C. Prescribe emergency contraception | D. Test for and treat sexually transmitted infections | E. Order Computerised Tomography of the abdomen and pelvis.	D
A 21-year old woman presents with left lower quadrant pain. A 7-cm firm adnexal mass is palpated. Ultrasound confirms a complex adnexal mass with solid components that appears to contain a tooth. What percentage of these tumours are bilateral?	A. Less than 1 % | B. 2%-3% | C. 10% | D. 50% | E. Greater than 75%.	C
A 29-year old G 3 P 2 presents to the emergency room with complaints of abdominal discomfort for 2 weeks. Her vital signs are stable. A pregnancy test is positive and an ultrasound of the abdomen and pelvis reveals a viable 16-week gestation located behind a normal appearing uterus. Both ovaries appear normal. No free fluid is noted. Which of the following is the most likely cause of these findings?	A. Ectopic ovarian tissue | B. Fistula between the peritoneum and uterine cavity | C. Primary peritoneal implantation of the fertilized ovum | D. Tubal abortion | E. Uterine rupture of prior caesarean section scar.	D
A 50-year old woman is diagnosed with cervical cancer. Which lymph node group would be the first involved in metastatic spread of this disease beyond the cervix and the uterus?	A. Common iliac nodes | B. Sacral nodes | C. External iliac nodes | D. Paracervical nodes | E. Para-aortic nodes	D
A 20-year old female and her partner, a 20-year-old man presents for counselling for sexual dysfunction. Prior to their relationship, neither had been sexually active. Both deny any medical problems. Which type of male/female sexual dysfunction has the lowest cure rate?	A. Premature ejaculation | B. Vaginismus | C. Primary impotence | D. Secondary impotence | E. Female orgasmic dysfunction	C
After an initial pregnancy resulted in a spontaneous loss in the first trimester, your patient is concerned about the possibility of this recurring. Which of the following is the most appropriate answer regarding the chance of recurrence?	A. It depends on the genetic makeup of the prior abortus | B. It is not different than it was prior to the miscarriage | C. It has increased to approximately 50 % | D. It has increased most likely to greater than 50% | E. It depends on the sex of the prior aborted  fetus	B
A mother brings her 12-year old daughter to the clinic because she is concerned that most of the other girls in her daughter’s class have already started having their period. She thinks her daughter hasn’t shown any evidence of going into puberty yet. Knowing the usual first sign of the onset of puberty, you should ask the mother which of the following questions?	A. Has your daughter had any acne? | B. Has your daughter started to develop breasts? | C. Does your daughter have any axillary or pubic hair? | D. Has your daughter started her growth spurt? | E. Has your daughter has any vaginal spotting?	B
A 22-year old primigravida at 14 weeks gestation presents to the antenatal clinic with a recent exposure to her 3 year old nephew who had a rubella viral infection. In which time period does maternal infection with this virus carry the greatest risk for congenital rubella syndrome in the fetus?	A. Preconception | B. First trimester | C. Second trimester | D. Third trimester | E. Postpartum	B
A 78-year old woman complains of leakage of urine. Which of the following is the most common cause of this condition in this age range:	A. Anatomic stress incontinence | B. Urethral diverticulum | C. Overflow incontinence | D. Urge incontinence | E. Fistula.	D
A 20 year old unbooked primigravida was referred from a traditional birth attendants home having been in labour for 20 hours. A diagnosis of Obstructed labour was made at the centre she was referred to. The pathological retraction ring which is one of the features of obstructed labour is caused by:	A. Thinning of the lower uterine segment | B. Thinning of the upper uterine segment | C. Thickening of the lower uterine segment. | D. Thickening of the mid-uterine segment | E. Persistent localized annular spasm.	A
Post-patum haemorrhage is one of the leading causes of maternal mortality world wide.  Causes of secondary postpartum haemorrhage include:	A. Uterine atony | B. Hypofibrinogenaemia | C. Choriocarcinoma | D. Vaginal and perineal laceration | E. Acute puerperal inversion	C
Which of the following is true regarding the management of multifetal pregnancy:	A. More frequent antenatal visits are required to avoid preeclampsia | B. More iron and vitamin supplements is required during pregnancy to avoid neonatal anaemia. | C. If delivery of the second twin is delayed more than 30 minutes, caesarean section is indicated | D. Ergometrine is given after delivery of the first twin | E. Caesarean section is indicated if the presentation of the first twin is breech	E
Pelvic type plays a major role in labour. The typical female pelvis is not characterized by the following:	A. Parallel or slightly converging walls | B. An oblique diameter at the inlet of 12-12.5 cm | C. A transverse diameter greater than the antero-posterior  diameter  at the outlet. | D. A subpubic angle of more than 90 degrees | E. A smoothly curved sacrum.	C
The major advantage of a mediolateral episiotomy is:	A. Less blood loss | B. Easy surgical repair | C. Less  postoperative pain | D. Less incidence of third and fourth degree extensions | E. Less incidence of dyspareunia.	D
True statement regarding emesis and hyperemesis gravidarum is:	A. Less than 25% of pregnant women experience morning sickness | B. Emesis gravidarum  usually starts around the 4th to the 6th week | C. Emesis gravidarum usually improves or disappears spontaneously about the 6th week | D. Emesis gravidarum does not turn into hyperemesis  gravidarum | E. The onset of hyperemesis is usually acute\\	B
A 25 year old multiparous was seen at the booking clinic with a blood pressure of 150/95 mmHg and 1+ protein in the urine. The blood pressure was repeated after 6 hours with no difference in the reading. She was 32 weeks pregnant and not a known hypertensive. Ultrasound scan revealed twin pregnancy. What is the risk factor identified for this condition in this case:	A. Chronic hypertension | B. Low socio-economic status | C. Vesicular mole | D. Multiple gestation | E. Antiphospolipid antibody syndrome.	D
Which of the following is not a risk factor for Postpartum depression?	A. Unmarried | B. low self esteem | C. Family support | D. Poor relationship with partner | E. Financial problems	C
Which of the following is wrong concerning the placenta?	A. Has about 15-20 cotyledons | B. Diameter of 15-20 cm. | C. Weighs between 500-600gms or 1/6th of the baby weight | D. Thickness is about 2.5 cm at its center and gradually tapers towards the periphery. | E. It has 3 edges	E
Which is not a component of Biophysical profile	A. Amniotic fluid volume | B. Fetal breathing movement | C. Maternal body movement | D. Fetal tone | E. CTG	C
An infant is delivered preterm and taken to the neonatal unit. Which problem is most likely to be experienced?	A. Incomplete formation of the epidermis from the mesoderm. | B. Excessive vernix formation. | C. Lanugo shedding. | D. Thermoregulation due to thin skin. | E. Lack of hair follicle development.	D
Features of Turners syndrome includes the following except?	A. Coarctation of the aorta | B. Short stature | C. Absent vagina | D. Scoliosis | E. Cubitus valgus	C
The following are drugs used in the management of severe pre-eclampsia except?	A. Methyldopa. | B. Frusemide. | C. Labetalol. | D. Nifedipine | E. Apresoline	B
First-trimester abortion may be due to the following except?	A. Inadequate Progesterone production | B. Chromosomal abnormality of the fetus | C. Maternal diabetes | D. Incompetence of the internal cervical os | E. Cytotoxic drugs	D
Components of Manchester Repair include the following except?	A. Posterior colpoperineuraphy | B. Cervical amputation | C. Fixation of the cardinal ligament | D. Anterior colpoperineurraphy | E. Anterior colporrhaphy	D
Which of the following is not included in a reactive CTG	A. a normal baseline should be 110-160bpm | B. normal amplitude of baseline variability should be 5-25bpm | C. There should be at least 2 episodes of late decelerations. | D. normally 2 or more accelerations should be present in 20 minutes. | E. maternally perceived fetal movements should be associated with accelerations	C
A pregnant woman with gestational diabetes asks you about the increased risks to her fetus. You describe all of the following except:	A. Hypermagnesaemia. | B. Traumatic delivery. | C. Neonatal jaundice. | D. Polycythaemia. | E. Hypoglycaemia.	A
Which best describes the reproductive history of a woman at 30 weeks gestation with a previous twin delivery and a Spontaneous termination of pregnancy at 27 weeks?	A. G3P3 +0. | B. G3P1+1. | C. G4P3+0. | D. G4P2+1. | E. G3P2+1.	B
A nineteen-year-old-girl is admitted with pelvic pain, a positive pregnancy test and a 3 cm viable ectopic pregnancy seen in the right fallopian tube on ultrasound. She has already had a left salpingectomy for a previous ectopic. The best management would be:	A. Laparoscopic salpingectomy. | B. Conservative management with serial βHCGs. | C. Laparotomy. | D. Laparoscopic salpingostomy | E. Methotrexate.	D
The hormone best used as a measurement of ovarian reserve is:	A. FSH. | B. Oestradiol. | C. AMH | D. LH. | E. Progesterone	C
Fetal and neonatal effects of Rhesus isoimmunisation include the following except	A. Anencephaly. | B. Kernicterus | C. Hydrops fetalis | D. Spontaneous abortion | E. Intrauterine fetal death	A
In a patient with breech presentation, the following are true except?	A. External cephalic version can be done at term | B. Trial of vaginal breech delivery | C. Elective caesarean section is an option | D. Multiple pregnancy is a risk factor | E. Internal podalic version is indicated	E
The following can be used as medical management of menorrhagia	A. Tranexamic acid | B. Intrauterine systems | C. Intrauterine copper device | D. Implanon | E. DMPA	C
Mirena has a duration of?	A. 3 years. | B. 6 years. | C. 4 years. | D. 5 years. | E. 8 years	D
The following are contraindications to external cephalic version except:	A. Previous Caesarean section Scar. | B. Twin pregnancy. | C. Placenta previa. | D. Membrane rupture. | E. Complete breech position	E
The following factors are to be met when performing forceps delivery except?	A. Station of the presenting is required. | B. The cervix is fully dilated. | C. Adequate maternal analgesia. | D. Empty bladder. | E. Fetal membranes status not required.	E
Progress in labour is measured by?	A. The frequency of uterine contractions. | B. Dilatation of the cervix. | C. Position of the presenting part. | D. The force of uterine contractions. | E. The length of time since rupture of the membranes.	B
Considering the fetal skull, the following are true except?	A. The anterior fontanelle is diamond shaped. | B. The sutures of the vault are soft unossified membranes. | C. The vertex presentation longitudinal diameter is sub-occipito-frontal diameter. | D. The occipito-mental diameter is normally too large to pass through the maternal pelvis. | E. Moulding of the fetal skull is a normal physiological process.	C
The following is not a form of violence against women	A. Intimate partner physical violence | B. Female genital mutilation | C. Forced sexual intercourse by an intimate partner | D. Widowhood rites and denial from access to husband property | E. Disagreement between couples.	E
Concerning Implanon NXT, which of the following is not true?	A. Removal is more difficult than insertion | B. It is inserted in the inner aspect of a client’s dominant arm | C. Inhibits ovulation | D. Implanon is for 3 years | E. May require barrier form of contraceptive in the first 7 days after insertion in some situation.	B
Which is not a cause of puerperal pyrexia?	A. Malaria | B. Urinary tract infection | C. Breast engorgement | D. Faecal impaction | E. Respiratory tract infection	D
The following are true in cord prolapse except	A. Instrumental delivery is useful at full cervical dilatation | B. Cord prolapse is an obstetrics emergency | C. Diagnosis delivery interval of less than 30min is associated with good fetal outcome | D. Caesarean section is a must | E. Inflating the bladder with fluid has a place in the management of cord prolapse.	D
Which is not a complication of prolonged obstructed labour?	A. Vesicovaginal fistula | B. Primary infertility | C. Ruptured uterus | D. Osteitis pubis | E. Fetal neurological injuries	B
The following are opioids agent used for labour analgesia except	A. Pentazocine | B. Pethidine | C. Fentanyl | D. Paracetamol | E. Morphine.	D
Concerning uterine fibroid, which of the following is not true?	A. Submucous fibroids are more likely to be associated with menorrhagia | B. Polycythaemia is unusual | C. Cervical fibroids may become parasitic | D. Subserous fibroids may undergo torsion | E. May be associated with infertility.	C
The causes of death in Cancer of the Cervix include the following except?	A. Uraemia. | B. Haemorrhage | C. Infection. | D. Polycythaemia | E. Renal Failure	D
The following are risk factors for the development of cervical cancer except?	A. Multiple sexual partners. | B. HPV types 16 and 18. | C. Early Coitarche. | D. Exposure to Diethylstilbestrol | E. Use of IUD	E
In vaginal twin delivery which of the following is true?	A. Prolong pregnancy is a common feature | B. The second twin must be delivered within 10 minutes of the first. | C. There is an increased risk of postpartum haemorrhage. | D. Internal podalic version is a useful strategy for delivery of the first twin. | E. The first twin is at greater risk than the second.	C
Which is not a risk factor for the development of prolapse?	A. Obstructed Labour. | B. Forceps delivery. | C. Menopause. | D. Nulliparity. | E. Genetic factors.	D
Regarding carcinoma of the ovary, which of the following is true?	A. It is most common in developing countries. | B. The incidence is similar to carcinoma of the endometrium with similar prognosis. | C. The peak age is 80–90 years old. | D. The mainstay of treatment is surgery and radiotherapy combined | E. The majority are epithelial in origin.	E
The following are risk factors for the development of endometrial cancer except.	A. Obesity. | B. Implanon | C. Oestradiol. | D. Tamoxifen. | E. Diabetes.	B
A 30-year-old girl presents with mid-cycle pain on a regular monthly basis. She is sexually active and does not take any contraception. The pain resolves after 24 hours. She has a regular 28-day cycle. The likely cause of the pain is?	A. Adenomyosis | B. Mittelschmertz syndrome | C. Endometriosis. | D. PID. | E. Polycystic ovaries.	B
Bishop Score comprise of the following except	A. Length of the cervix | B. Dilatation of the cervix | C. Position of the cervix | D. Consistency of the cervix | E. Differentiation of the cervix	E
The gold standard for the Diagnosis of Tubal ectopic pregnancy.	A. Cystoscopy. | B. Hysteroscopy. | C. Hysterosalpingogram | D. Laparoscopy | E. Abdominopelvic Ultrasound.	D
Polyhydramnios is associated with the following except:	A. Maternal diabetes | B. Spina bifida | C. Maternal non-steroidal anti-inflammatory drugs (NSAIDs). | D. Omphalocele | E. Chorioangioma of the placenta	C
The following are complications of multiple pregnancy except?	A. Placenta praevia. | B. Diabetes mellitus. | C. Pre-eclampsia | D. Malpresentation | E. Intrauterine growth restriction (IUGR).	B
By means of real time ultrasound examination	A. Pregnancy can usually be detected 5 weeks after the last menstrual period | B. The fetal heart cannot be seen until 10 weeks after the last period | C. Placental praevia can be readily demonstrated after the 16th week of pregnancy | D. The biparietal diameter can be measured reliably after the 12th week of pregnancy | E. A reliable estimate of gestational age can be made in the 3rd trimester	A
The following are absolute indication for caesarean section	A. Hydrocephalus | B. Type IV placenta praevia | C. Abruption placentae | D. Previous multiple caesarean section | E. Previous classical caesarean section	C
